pid,CHANNEL
86010,Onlineshop
86021,Onlineshop
86437,Onlineshop
86489,Onlineshop
86569,Onlineshop
86576,Onlineshop
86707,Onlineshop
86801,Onlineshop
87054,Onlineshop
87074,Onlineshop
87631,Onlineshop
87656,Onlineshop
88169,Onlineshop
88171,Onlineshop
88421,Onlineshop
88463,Onlineshop
88819,Onlineshop
88935,Onlineshop
88956,Onlineshop
89017,Onlineshop
89047,Onlineshop
89138,Onlineshop
89199,Onlineshop
89723,Onlineshop
89806,Onlineshop
89812,Onlineshop
89859,Onlineshop
89936,Onlineshop
89946,Onlineshop
89960,Telesales
90082,Onlineshop
90147,Onlineshop
90287,Onlineshop
90295,Onlineshop
90358,Onlineshop
90373,Onlineshop
90392,Onlineshop
90641,Onlineshop
90665,Onlineshop
90716,Onlineshop
90728,Onlineshop
90841,Onlineshop
90855,Onlineshop
90873,Onlineshop
91193,Onlineshop
91434,Onlineshop
91500,Onlineshop
91657,Onlineshop
92161,Onlineshop
92187,Onlineshop
92301,Onlineshop
92327,Onlineshop
92372,Onlineshop
92571,Onlineshop
92669,Onlineshop
92863,Onlineshop
92952,Onlineshop
92986,Onlineshop
93018,Onlineshop
93037,Onlineshop
93112,Onlineshop
93157,Onlineshop
93330,Onlineshop
93336,Onlineshop
93382,Onlineshop
93414,Onlineshop
93492,Onlineshop
93698,Onlineshop
93898,Onlineshop
94022,Onlineshop
94167,Onlineshop
94252,Onlineshop
94462,Onlineshop
94478,Onlineshop
94678,Onlineshop
94860,Onlineshop
95272,Onlineshop
95436,Onlineshop
95496,Onlineshop
95510,Onlineshop
95554,Onlineshop
95633,Onlineshop
95649,Onlineshop
95685,Onlineshop
95709,Onlineshop
95735,Onlineshop
95829,Onlineshop
95885,Onlineshop
95960,Onlineshop
95992,Onlineshop
96062,Onlineshop
96178,Onlineshop
96416,Onlineshop
96449,Onlineshop
96502,Onlineshop
96834,Onlineshop
96971,Onlineshop
97006,Onlineshop
97243,Onlineshop
97286,Onlineshop
97313,Onlineshop
97471,Onlineshop
97513,Onlineshop
97515,Onlineshop
97609,Onlineshop
97693,Onlineshop
97727,Onlineshop
97731,Onlineshop
97837,Onlineshop
98183,Onlineshop
98232,Onlineshop
98333,Onlineshop
98349,Onlineshop
98776,Onlineshop
98842,Onlineshop
99074,Onlineshop
99264,Onlineshop
99551,Onlineshop
99666,Onlineshop
99793,Onlineshop
99922,Onlineshop
100545,Onlineshop
100744,Onlineshop
100823,Onlineshop
100827,Onlineshop
101112,Onlineshop
101234,Onlineshop
101611,Onlineshop
102512,Onlineshop
103224,Onlineshop
103405,Onlineshop
103648,Onlineshop
103788,Onlineshop
104917,Onlineshop
104967,Onlineshop
105409,Onlineshop
105569,Onlineshop
105672,Onlineshop
105783,Onlineshop
106101,Onlineshop
106392,Onlineshop
106421,Onlineshop
106602,Onlineshop
106656,Onlineshop
106775,Onlineshop
106824,Onlineshop
106876,Onlineshop
107017,Onlineshop
107136,Onlineshop
107181,Onlineshop
107268,Onlineshop
107292,Onlineshop
107398,Onlineshop
107442,Onlineshop
107505,Onlineshop
107578,Onlineshop
107605,Onlineshop
107631,Onlineshop
107691,Onlineshop
107751,Onlineshop
107836,Onlineshop
107929,Onlineshop
108357,Onlineshop
108672,Onlineshop
108867,Onlineshop
109091,Onlineshop
109130,Onlineshop
109131,Onlineshop
109708,Onlineshop
109850,Onlineshop
110280,Onlineshop
110375,Onlineshop
110482,Onlineshop
110498,Onlineshop
110728,Onlineshop
110760,Onlineshop
110777,Onlineshop
110868,Onlineshop
111097,Onlineshop
111153,Onlineshop
111248,Onlineshop
111377,Onlineshop
111418,Onlineshop
111601,Onlineshop
111858,Onlineshop
111879,Onlineshop
112021,Onlineshop
112159,Onlineshop
112249,Onlineshop
112266,Onlineshop
112357,Onlineshop
112404,Onlineshop
112456,Onlineshop
112483,Onlineshop
112543,Onlineshop
112705,Onlineshop
112717,Onlineshop
112742,Onlineshop
112788,Onlineshop
113060,Onlineshop
113322,Onlineshop
113844,Onlineshop
113861,Onlineshop
113886,Onlineshop
113916,Onlineshop
113922,Onlineshop
113935,Onlineshop
113957,Onlineshop
113987,Onlineshop
114013,Onlineshop
